timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,-0.0653,0.1154,-0.028,-0.9266,-1.7071,9.8043,-1.0,1.0,1.0
100,-0.0882,0.0866,0.0168,-0.905,-1.9992,9.9838,-1.0,1.0,1.0
200,-0.0072,0.0165,-0.0282,-0.8356,-1.8172,9.73,-1.0,1.0,1.0
300,0.0208,0.0541,-0.0136,-0.9026,-1.7023,9.9479,-1.0,1.0,1.0
400,-0.0205,0.0381,-0.0091,-1.0247,-1.6328,9.6175,-1.0,1.0,1.0
500,-0.093,0.1183,0.053,-0.996,-2.0279,10.3932,-1.0,1.0,1.0
600,-0.2723,0.1895,-0.0301,-1.2713,-1.9656,8.8705,1.0,1.0,1.0
700,0.0043,0.11,-0.065,-1.1468,-1.9201,9.6031,-1.0,1.0,1.0
800,-0.4223,0.5252,-0.3491,-1.4054,-2.5187,10.6422,1.0,1.0,1.0
900,0.138,0.8111,-0.1623,-2.5618,-4.5298,7.7788,1.0,1.0,1.0
1000,1.2638,-0.6736,-0.7959,-2.0877,-1.9106,9.9886,1.0,1.0,1.0
1100,1.1048,0.3976,-1.0666,-2.4924,-0.5435,8.8992,1.0,1.0,1.0
1200,0.6707,0.0197,-0.1218,-2.5139,-1.4796,9.9766,1.0,1.0,1.0
1300,0.9582,-0.2721,-0.676,-2.6695,0.7949,10.4124,1.0,-1.0,1.0
1400,0.0949,-0.7485,-0.8668,-2.5091,0.1245,8.7843,1.0,-1.0,1.0
1500,-0.3246,-1.5839,-0.3389,-0.747,1.3384,9.821,-1.0,-1.0,1.0
1600,0.0813,-2.0981,-0.3704,1.9178,2.7126,10.7547,-1.0,-1.0,1.0
1700,-0.4549,-2.3497,0.6925,3.5793,1.4126,9.1339,-1.0,-1.0,1.0
1800,0.1913,-1.3118,0.0408,5.1403,1.8579,9.5122,-1.0,-1.0,1.0
1900,-0.5804,-0.8282,0.145,5.3391,1.7502,8.1139,-1.0,-1.0,1.0
2000,-1.3419,-0.7152,0.9236,5.7485,0.1053,7.6136,-1.0,-1.0,1.0
2100,-3.2564,0.3685,0.6456,6.7612,-1.1013,8.2025,-1.0,-1.0,1.0
2200,-2.9633,-0.2273,0.3507,6.9336,-4.1851,7.0725,-1.0,1.0,1.0
2300,-2.2383,-0.0107,-0.8631,6.2225,-3.7206,5.8754,-1.0,1.0,1.0
2400,-1.1559,0.4314,-0.4975,5.4564,-5.3415,4.944,-1.0,1.0,1.0
2500,-1.2625,0.3517,-0.8724,4.9321,-7.4172,5.4229,-1.0,1.0,1.0
2600,-0.6683,0.9534,-0.5907,3.7685,-8.9328,4.4987,-1.0,1.0,1.0
2700,0.3933,1.513,-1.3326,1.8148,-8.7173,1.6017,-1.0,1.0,1.0
2800,1.1322,2.2156,-1.4272,-0.0144,-7.9751,2.9018,-1.0,1.0,1.0
2900,1.0504,1.5596,-1.1695,-1.2234,-9.3326,5.2098,1.0,1.0,1.0
3000,2.1589,1.8548,-1.9121,-2.9856,-7.3406,5.7389,1.0,1.0,1.0
3100,2.1157,0.8183,-1.096,-5.4636,-2.4301,6.3901,1.0,1.0,1.0
3200,0.9755,-0.5553,-0.9038,-5.4037,-1.5921,9.086,1.0,1.0,1.0
3300,0.8252,-0.2713,-0.5553,-5.6623,1.221,8.7197,1.0,-1.0,1.0
3400,0.8807,-0.6043,-0.3587,-5.3582,1.3838,8.1259,1.0,-1.0,1.0
3500,0.9185,-1.2862,-0.7762,-4.2018,3.4189,7.6088,1.0,-1.0,1.0
3600,0.9246,-2.1392,-1.121,-2.6911,4.3024,7.276,1.0,-1.0,1.0
3700,0.4413,-1.7536,-0.6275,-0.0838,5.8059,9.1339,-1.0,-1.0,1.0
3800,-0.5345,-2.0302,-0.4546,1.2091,4.3503,7.6495,-1.0,-1.0,1.0
3900,-0.2148,-1.4626,-0.2611,4.2952,3.0023,8.7987,-1.0,-1.0,1.0
4000,-0.8348,-1.0914,-0.4676,4.7238,4.1084,8.0924,-1.0,-1.0,1.0
4100,-1.0491,-1.2915,0.4676,6.3231,1.0774,8.7005,-1.0,-1.0,1.0
4200,-1.0299,-0.7224,-0.3962,6.8761,0.5459,8.3917,-1.0,-1.0,1.0
