timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.0045,0.0123,0.0067,-0.3017,-0.8475,9.9671,-1.0,0.1034,1.0
100,0.0059,0.0221,-0.0048,-0.3472,-0.7566,9.7707,-1.0,-1.0,1.0
200,-0.0109,-0.0181,-0.0061,-0.3089,-0.7997,9.8019,-1.0,-1.0,1.0
300,-0.0282,0.0037,-0.0069,-0.2825,-0.9625,10.0293,-1.0,-1.0,1.0
400,0.0107,0.0123,-0.0115,-0.3041,-0.838,10.1849,-1.0,-1.0,1.0
500,0.0173,-0.0059,-0.0037,-0.2682,-0.7278,9.8881,-1.0,-1.0,1.0
600,0.0381,-0.0125,0.0003,-0.3136,-0.9074,9.9383,-1.0,0.7143,1.0
700,0.0429,-0.1484,-0.0799,-0.2155,-1.1109,9.2871,-1.0,-0.202,1.0
800,-0.1287,-0.0994,-0.0861,0.1125,-0.7566,10.2663,-1.0,-1.0,1.0
900,0.0051,-0.1026,-0.0192,0.1269,-0.8571,10.1442,-1.0,0.4089,1.0
1000,0.0,-0.0096,-0.0123,0.1317,-0.8882,10.0604,-1.0,-1.0,1.0
1100,0.0048,-0.0552,0.0322,0.1867,-0.6967,9.9958,-1.0,-1.0,1.0
1200,0.0253,-0.0392,0.0107,0.2514,-0.7207,9.9144,-1.0,-1.0,1.0
1300,0.0741,0.0749,-0.0733,0.3208,-1.0582,10.6303,-1.0,-1.0,1.0
1400,0.4807,1.9343,-0.2305,0.9601,-0.4764,15.0021,-1.0,-1.0,1.0
1500,-0.6944,5.7718,-1.1607,-1.7741,-1.6209,11.5927,1.0,-1.0,1.0
1600,0.4783,2.2036,-0.2478,-6.6942,-0.3256,2.5618,1.0,-1.0,1.0
1700,-0.0719,1.3763,-0.2595,-8.0972,1.7885,6.6918,1.0,-1.0,1.0
1800,-0.0757,0.9065,0.0437,-8.5832,0.7542,4.6543,1.0,-1.0,1.0
1900,-0.0616,0.461,0.069,-9.3494,-0.4429,3.4572,1.0,-1.0,1.0
2000,-0.0064,0.4221,-0.0349,-9.0597,-0.3974,3.6703,1.0,-1.0,1.0
2100,-0.1529,-0.3171,0.0389,-9.2775,-0.0168,2.897,1.0,-1.0,1.0
2200,0.0962,-0.219,-0.1428,-9.0597,-0.2658,3.7996,1.0,-1.0,1.0
2300,0.1314,-1.5609,0.0879,-8.5928,-0.6776,2.1308,1.0,-1.0,1.0
