timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,0.5143,0.0698,0.3845,-0.1293,-1.3982,10.3406,-1.0,1.0,1.0
100,0.2545,-0.0568,0.2105,0.0,-0.4477,9.4786,-1.0,1.0,1.0
200,-0.1577,-0.4482,-0.0802,-0.6153,-0.7063,9.2201,-1.0,1.0,1.0
300,-0.15,-0.2172,0.0248,-0.2586,-1.0965,9.5409,-1.0,1.0,1.0
400,-0.1998,0.158,0.0645,0.0982,-1.3862,10.2592,-1.0,1.0,1.0
500,-0.0576,-0.1069,-0.0104,-0.1939,-1.4222,9.8833,-1.0,1.0,1.0
600,0.2771,0.7871,-0.1322,-0.091,-2.2242,11.9375,-1.0,1.0,1.0
700,-0.1759,1.0064,0.1681,-1.0223,-1.1468,9.4308,-1.0,1.0,1.0
800,0.1498,0.0797,0.0488,-1.5538,-2.2098,9.5146,1.0,1.0,1.0
900,2.9082,2.9884,1.5617,-2.9257,1.1085,12.3158,1.0,-1.0,1.0
1000,0.4,1.2225,0.0466,-4.3479,-1.0271,9.4284,1.0,-1.0,1.0
1100,0.0192,-0.4221,-0.7048,-5.861,0.498,6.2034,1.0,-1.0,1.0
1200,2.7518,0.6025,-2.3563,-4.2377,1.3982,8.6886,1.0,-1.0,1.0
1300,0.2595,-1.4093,-2.2902,-4.3981,8.2193,5.8538,1.0,-1.0,1.0
1400,0.7021,-1.6899,-0.9345,-2.2529,8.4539,3.4165,1.0,-1.0,1.0
1500,-1.3816,-1.7936,-2.0211,-0.6512,6.3351,3.9768,-1.0,-1.0,1.0
1600,-1.5183,-2.4597,-1.7253,4.3239,6.6008,9.4044,-1.0,-1.0,1.0
1700,-0.7536,-1.7738,-0.6094,4.8483,5.5498,5.6623,-1.0,-1.0,1.0
1800,0.2545,-0.1857,0.9494,4.3191,5.0589,5.4684,-1.0,-1.0,1.0
1900,0.1079,-0.384,1.1258,6.0765,5.2768,8.339,-1.0,-1.0,1.0
2000,-0.1172,0.1545,0.8974,4.7932,5.2146,7.3741,-1.0,-1.0,1.0
2100,0.1303,2.5165,1.4101,3.6344,8.43,8.6311,-1.0,-1.0,1.0
2200,-1.0016,1.607,0.8084,0.3136,6.2082,10.2208,-1.0,-1.0,1.0
2300,0.8263,0.4743,1.3779,-2.059,5.1356,7.9344,1.0,-1.0,1.0
2400,-0.5084,0.283,0.6574,-2.6288,5.8634,8.6167,1.0,-1.0,1.0
2500,0.4972,0.6891,1.0648,-2.9257,5.2792,9.7085,1.0,-1.0,1.0
2600,-0.3397,1.1914,0.1628,-4.3934,5.9711,7.1323,1.0,-1.0,1.0
2700,-0.2105,0.0274,0.3579,-4.5657,4.5705,8.5545,1.0,-1.0,1.0
2800,-2.6017,-1.4373,1.1445,-5.4013,3.0694,3.8451,1.0,-1.0,1.0
2900,-3.1698,-1.5271,1.7587,-3.5314,-0.905,11.6837,1.0,1.0,1.0
3000,-4.3471,0.9182,0.7791,-3.0095,-5.0494,7.2736,1.0,1.0,1.0
3100,-0.5284,-0.9918,0.8956,-0.814,-7.7524,7.4962,1.0,1.0,1.0
3200,-0.6502,-1.437,0.2896,-0.8787,-6.0549,6.5146,-1.0,1.0,1.0
3300,-0.3333,-2.7275,1.5855,2.2625,-6.5074,5.9017,-1.0,1.0,1.0
3400,1.2217,-3.42,2.1746,6.0023,-6.438,8.3749,-1.0,1.0,1.0
3500,1.2812,-1.4333,1.4866,6.4619,-4.3048,6.3997,-1.0,1.0,1.0
3600,2.1485,-1.0472,0.8455,8.4348,-2.7174,5.7269,-1.0,1.0,1.0
3700,1.4141,-0.7679,0.7197,8.837,-0.407,5.8873,-1.0,-1.0,1.0
3800,-0.3232,0.546,0.2025,8.6263,-1.0558,4.5753,-1.0,-1.0,1.0
3900,-0.9497,1.076,0.1087,9.8761,-2.4301,5.9304,-1.0,-1.0,1.0
4000,-2.4866,0.5582,-1.3763,9.9886,-5.0996,4.8171,-1.0,1.0,1.0
4100,-0.7197,4.0286,-0.5628,8.0972,-4.8842,6.201,-1.0,1.0,1.0
4200,0.9054,1.7581,-1.5135,4.6783,-6.4739,6.936,-1.0,1.0,1.0
4300,1.1159,3.2391,-0.2603,-0.0838,-1.5012,6.7947,-1.0,1.0,1.0
4400,0.1053,-0.2025,0.1322,-0.261,-4.1132,8.758,1.0,1.0,1.0
4500,0.1119,-0.1825,-0.1274,-0.5794,-2.6073,10.2065,0.9571,1.0,1.0
4600,-0.2204,0.0725,0.109,-0.4741,-3.8283,10.0437,-1.0,1.0,1.0
4700,0.7943,0.8729,-0.4199,0.067,-5.4875,9.2943,-1.0,1.0,1.0
4800,1.9604,1.7203,-0.3994,0.0072,-5.387,10.8816,1.0,1.0,1.0
4900,1.6811,-0.2667,-1.3272,-1.5826,-3.2537,11.0421,1.0,-1.0,1.0
5000,1.2257,0.724,-0.8548,-3.3854,-0.2227,9.1339,1.0,-1.0,1.0
5100,2.1429,1.44,-0.1306,-4.3814,1.7693,7.3263,1.0,-1.0,1.0
5200,3.5709,2.0288,-0.2116,-6.0597,5.0685,4.6926,1.0,-1.0,1.0
5300,0.9252,0.1399,-0.4405,-5.9017,5.0326,3.9049,1.0,-1.0,1.0
5400,1.9617,0.7384,-0.558,-5.3008,5.3127,3.1412,1.0,-1.0,1.0
5500,1.5457,0.5303,-2.7089,-2.9975,6.2752,-0.2586,1.0,-1.0,1.0
5600,0.9582,0.3381,-2.3033,-2.0351,11.1618,-1.9537,1.0,-1.0,0.9519
5700,0.8513,-0.4999,-1.153,-0.9553,13.5488,-3.9337,-1.0,-1.0,-1.0
5800,-0.9896,-1.3017,-2.0248,2.1859,7.7524,-0.8404,-1.0,-1.0,-1.0
5900,-0.6025,-0.182,-1.2255,3.8235,10.4004,0.3663,-1.0,-1.0,-1.0
6000,0.2193,-0.5033,-0.1228,3.7038,9.8043,-0.0024,-1.0,-1.0,-1.0
6100,-0.0536,-0.0813,0.2659,4.6998,9.0908,0.0168,-1.0,-1.0,-1.0
6200,0.0727,0.2236,0.6366,4.6232,9.6343,1.913,-1.0,-1.0,-1.0
6300,-0.5572,0.3099,0.5188,3.0957,10.0389,0.6153,-1.0,-1.0,-1.0
6400,-0.1447,0.0458,0.4442,2.5666,14.1018,1.47,-1.0,-1.0,-1.0
6500,-3.8216,0.4818,4.4867,0.0024,15.3875,-0.1245,-1.0,-1.0,1.0
6600,-2.5612,0.0197,2.38,-3.6105,8.5401,2.0375,1.0,-1.0,1.0
6700,-0.8042,-0.1671,1.7243,-3.5841,5.3774,3.1292,1.0,-1.0,1.0
6800,-0.7133,-0.6781,0.7679,-4.8961,5.296,4.4365,1.0,-1.0,1.0
6900,0.2915,0.1721,0.8489,-5.1499,5.5378,6.845,1.0,-1.0,1.0
7000,-0.0136,0.1372,0.5409,-4.9009,2.3248,7.0318,1.0,-1.0,1.0
7100,-1.703,-0.6195,0.8591,-5.3822,2.5881,7.683,1.0,-1.0,1.0
7200,-3.9903,-3.3425,-0.5257,-2.7773,-0.9457,9.153,1.0,-1.0,1.0
7300,-4.4774,-3.622,-0.9665,1.3216,-4.5873,9.6917,-1.0,1.0,1.0
7400,-2.2058,-0.9414,-0.1452,3.1101,-7.865,7.6902,-1.0,1.0,1.0
7500,-0.9534,-2.8845,0.4016,3.3016,-8.0445,4.7525,-1.0,1.0,1.0
7600,-0.7655,-2.4102,-0.3174,4.7118,-8.4491,4.7166,-1.0,1.0,1.0
7700,0.6931,-1.0,0.4426,5.1571,-8.272,2.7366,-1.0,1.0,1.0
7800,0.7722,-0.0951,0.721,6.7732,-9.2201,3.5099,-1.0,1.0,1.0
7900,1.5511,0.4533,-0.2278,7.1084,-6.4596,2.8419,-1.0,1.0,1.0
8000,1.0443,0.1553,-0.4104,7.422,-6.031,4.0917,-1.0,1.0,1.0
8100,-0.3429,-0.3003,-0.5041,6.1651,-5.4013,4.9775,-1.0,1.0,1.0
8200,0.4056,0.5617,-0.1306,5.9903,-5.6695,5.5929,-1.0,1.0,1.0
8300,-1.3288,0.6638,1.2718,6.9456,-5.9209,8.272,-1.0,1.0,1.0
8400,1.149,4.5661,1.0363,5.9568,-4.9057,9.4571,-1.0,1.0,1.0
8500,0.8452,2.983,-0.0123,1.3479,-3.8188,6.2369,-1.0,1.0,1.0
8600,0.7464,1.1034,-0.2936,-2.0638,-1.0558,7.4962,1.0,-1.0,1.0
