timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0,-0.0171,0.0053,-0.0192,-2.4445,-1.8818,9.596,1.0,1.0,1.0
100,0.0029,0.0184,-0.0085,-2.1165,-2.1213,9.4715,1.0,1.0,1.0
200,-0.0192,0.0069,0.0442,-2.1452,-2.1524,9.4571,1.0,1.0,1.0
300,0.0234,0.0432,-0.0306,-2.1691,-2.0662,9.8952,1.0,1.0,1.0
400,-0.0115,0.0317,0.0011,-2.1691,-2.0806,9.5265,1.0,1.0,1.0
500,0.0027,0.0669,0.0008,-2.2434,-2.1069,9.6678,1.0,1.0,1.0
600,0.0218,0.1639,-0.1346,-2.49,-1.913,8.9495,1.0,1.0,1.0
700,0.9545,-0.7144,-0.4013,-1.6975,-3.4596,6.5074,1.0,1.0,1.0
800,0.6819,-2.3816,-1.2995,0.7111,-1.3216,10.6303,-1.0,1.0,1.0
900,1.8026,-1.5186,-1.2686,1.3791,2.3942,9.7827,-1.0,-1.0,1.0
1000,1.4762,0.6297,-1.6995,4.8147,1.5107,8.327,-1.0,-1.0,1.0
1100,0.3549,-0.2451,0.2369,3.1101,3.7804,9.0692,-1.0,-1.0,1.0
1200,-0.2388,-0.0458,0.396,3.5051,2.3631,9.0644,-1.0,-1.0,1.0
1300,-0.2297,-0.053,0.0624,3.3375,2.7701,8.7556,-1.0,-1.0,1.0
1400,-0.6051,-0.1263,0.4335,3.2154,2.7414,8.3893,-1.0,-1.0,1.0
1500,-2.7184,0.5902,0.7354,2.7461,4.1563,8.7221,-1.0,-1.0,1.0
1600,-7.3584,0.7077,0.9808,1.0726,-0.2274,11.0564,-1.0,1.0,1.0
1700,-4.5709,0.1172,0.3842,2.9975,-8.2768,6.505,-1.0,1.0,1.0
1800,-3.1736,0.8644,-0.3216,2.7342,-9.7731,2.0375,-1.0,1.0,1.0
1900,-1.0656,0.0061,0.1071,3.055,-11.2096,0.6129,-1.0,1.0,1.0
2000,-0.4812,0.0653,-0.8812,2.5091,-11.5137,0.6536,-1.0,1.0,1.0
2100,0.0938,-0.3373,0.0133,2.1715,-9.8641,0.4022,-1.0,1.0,1.0
2200,2.2537,-0.9641,0.1657,2.1955,-9.3278,1.1708,-1.0,1.0,1.0
2300,3.646,-0.1519,-1.1804,2.308,-8.7077,4.3622,-1.0,1.0,1.0
2400,3.7934,0.5598,-1.7845,0.9768,-5.8778,9.2081,-1.0,1.0,1.0
2500,2.4949,1.7741,-1.3752,-2.0039,-0.4142,9.8689,-1.0,1.0,1.0
2600,0.563,1.2188,1.4341,-4.8554,4.6519,8.9136,1.0,-1.0,1.0
2700,-0.7637,0.5758,-0.1388,-5.4875,0.7566,5.3223,1.0,-1.0,1.0
2800,0.0525,0.0109,0.101,-6.0406,2.6671,4.6064,1.0,-1.0,1.0
2900,0.2268,0.3693,0.1468,-6.2513,0.826,7.3286,1.0,-1.0,1.0
3000,-0.1929,-0.6694,1.2561,-4.9273,-0.8787,7.0557,1.0,-1.0,1.0
3100,0.3067,-2.1922,-0.6723,-3.9576,-2.126,11.0804,1.0,1.0,1.0
3200,1.918,-3.6881,-1.1111,-3.201,1.1037,14.3365,1.0,1.0,1.0
3300,0.296,-3.5823,-1.254,4.8315,1.8004,13.3405,-1.0,-1.0,1.0
3400,0.7184,-0.2523,-1.2665,4.0342,2.2553,11.5951,-1.0,-1.0,1.0
3500,1.1969,-0.1892,0.3981,4.6184,1.4533,7.6638,-1.0,-1.0,1.0
3600,1.1229,0.1026,0.1074,3.8547,3.6105,7.276,-1.0,-1.0,1.0
3700,-0.6571,-0.0314,-0.3104,3.6871,4.5514,8.983,-1.0,-1.0,1.0
3800,-1.3973,-0.3054,0.0264,3.5674,4.3814,9.2129,-1.0,-1.0,1.0
3900,-5.7463,0.4391,1.2537,2.9975,1.5634,8.0421,-1.0,1.0,1.0
4000,-5.8283,0.9667,0.5068,4.1946,-5.3582,6.7062,-1.0,1.0,1.0
4100,-4.9479,1.0616,-1.1066,3.2346,-9.4691,4.4939,-1.0,1.0,1.0
4200,-2.1986,-0.0128,-0.6544,1.4581,-9.4715,-1.8364,-1.0,1.0,1.0
4300,-0.036,-0.0711,-0.3142,1.1564,-9.6079,-1.4629,-1.0,1.0,1.0
4400,0.2822,-0.1668,-0.2443,0.8859,-9.6295,-2.229,-1.0,1.0,1.0
4500,0.3411,-0.0917,-0.1836,1.2546,-10.568,-0.8811,-1.0,1.0,1.0
4600,3.5322,-1.1583,-0.3461,0.4573,-10.0245,-1.2617,-1.0,1.0,1.0
4700,5.8712,0.4122,-1.1319,0.1915,-5.7892,10.7284,-1.0,1.0,1.0
4800,3.3771,2.7995,-0.5934,-2.0231,-0.3711,12.5217,1.0,1.0,1.0
4900,0.9401,1.3139,-0.2353,-4.8411,1.1444,7.9847,1.0,1.0,1.0
5000,1.6979,1.064,-0.2982,-5.4779,3.7685,6.4428,1.0,1.0,1.0
5100,0.259,0.7669,-0.2454,-5.5857,-2.8683,8.1594,1.0,1.0,1.0
