gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0469,0.0464,-0.0274,0.2538,-1.7669,9.9096,1.0,1.0,1.0
0.0354,-0.0456,-0.1583,-1.2809,-1.7693,9.5409,1.0,1.0,1.0
0.0874,-0.2289,0.1266,-0.0886,-1.221,10.0916,1.0,1.0,1.0
-0.2457,-0.497,-0.1982,-0.5531,-1.2929,10.738,1.0,1.0,1.0
0.7514,0.1801,-0.1652,-0.8475,-0.8523,9.4092,1.0,1.0,1.0
0.4799,-0.251,-0.3259,-0.0192,-1.2593,10.5345,1.0,-1.0,1.0
-0.4005,0.1159,0.0621,0.2346,-2.0039,12.3158,1.0,1.0,1.0
0.3,-0.1386,-0.0003,-0.2346,-1.075,10.8721,1.0,1.0,1.0
0.6043,-0.1684,-0.2963,-0.6129,-1.7406,9.7971,1.0,1.0,1.0
0.3669,0.0445,0.0061,-0.5076,-0.8978,10.2663,1.0,1.0,1.0
0.0024,0.0165,-0.1061,-0.2562,-1.7645,9.9096,1.0,1.0,1.0
-0.7282,-0.3344,-0.1617,0.0766,-1.7669,9.5361,1.0,1.0,1.0
-0.4786,-0.1897,-0.4863,-0.589,-1.1301,10.4244,1.0,1.0,1.0
0.3603,-0.4445,-0.5324,0.4142,-3.0263,9.0884,1.0,1.0,1.0
1.8016,0.1234,-0.7623,0.5291,-1.561,9.5146,-1.0,1.0,1.0
-0.4218,-0.9507,-0.4255,0.9026,-0.5555,9.6558,-1.0,-1.0,1.0
-1.615,-0.5239,-0.2838,1.9058,-1.2163,10.0963,-1.0,-1.0,1.0
1.0166,-0.3363,-0.2547,1.9752,-0.5507,9.7803,-1.0,-0.8129,1.0
0.574,-1.0203,0.1415,2.1596,0.5507,9.3134,-1.0,-1.0,1.0
0.5686,-1.02,0.4714,3.8523,0.7805,9.1219,-1.0,-1.0,1.0
0.0325,-1.2665,0.4943,5.8203,1.0319,8.9615,-1.0,-1.0,1.0
0.1964,-0.5268,1.3366,5.3893,1.1995,7.5441,-1.0,-1.0,1.0
-1.0752,-0.5081,0.9092,5.5043,2.4924,8.4252,-1.0,-1.0,1.0
-1.0379,-0.7096,0.4128,6.3997,1.8387,8.3701,-1.0,-1.0,1.0
-1.1799,0.0629,0.659,6.1268,2.4684,9.4164,-1.0,-1.0,1.0
-1.3899,-0.1631,0.9473,5.4588,0.7015,7.5369,-1.0,-1.0,1.0
-1.4698,0.5289,-0.7394,6.1842,-1.8603,7.8602,-1.0,-1.0,1.0
-0.5548,0.3469,-1.4498,5.0877,-1.8675,8.1858,-1.0,1.0,1.0
-0.4738,-0.271,0.0536,3.4644,-0.431,9.0237,-1.0,1.0,1.0
-1.1042,-0.6512,1.4269,5.5162,-3.4716,9.7588,-1.0,1.0,1.0
-1.7323,0.4005,0.5558,6.4715,-4.7788,10.3884,-1.0,1.0,1.0
-1.3368,0.3624,0.2036,4.9033,-5.1858,7.6064,-1.0,1.0,1.0
-1.1333,0.0064,-0.2582,5.6767,-5.9903,6.007,-1.0,1.0,1.0
0.2566,2.0896,-1.331,3.8954,-5.6503,5.4588,-1.0,1.0,1.0
0.858,1.6846,-1.4088,2.2386,-5.928,5.4372,-1.0,1.0,1.0
1.8479,0.7178,-1.7251,-0.2418,-5.8897,8.5257,1.0,1.0,1.0
0.7682,0.8663,-0.8793,-2.2051,-3.7373,7.3263,1.0,1.0,1.0
0.8916,0.9462,-0.7176,-3.4022,-2.5019,8.1475,1.0,1.0,1.0
2.9215,0.2814,-1.4813,-4.2234,1.0415,6.7876,1.0,-1.0,1.0
1.7954,0.4082,-0.4916,-4.1324,3.3974,7.5226,1.0,-1.0,1.0
0.8354,-0.049,-0.5542,-3.5267,2.8204,6.6846,1.0,-1.0,1.0
2.7699,-0.2441,-1.262,-2.7916,6.0885,6.5577,1.0,-1.0,1.0
1.465,-0.0903,-1.2494,-3.0263,5.9759,3.2633,1.0,-1.0,1.0
0.6328,-1.0323,-2.0238,0.0886,8.6694,3.5793,1.0,-1.0,1.0
-0.1681,-0.9145,-0.8996,3.5626,6.6224,4.3598,-1.0,-1.0,1.0
0.129,-0.9465,-1.5737,4.2593,7.7764,3.7014,-1.0,-1.0,1.0
0.048,-0.7072,-0.4732,4.7094,6.7229,2.2505,-1.0,-1.0,1.0
-1.4536,-0.2419,-1.6864,5.5785,4.6615,3.5099,-1.0,-1.0,1.0
-0.6323,-0.5001,-1.1834,7.2401,7.0126,3.948,-1.0,-1.0,1.0
-2.4909,-0.5156,-1.1183,9.1219,7.7883,4.5562,-1.0,-1.0,1.0
-1.7293,-0.3488,-1.4029,9.3494,2.5211,5.1715,-1.0,-1.0,1.0
-1.5082,-0.5931,-0.466,8.6287,1.8364,4.5897,-1.0,-1.0,1.0
-2.5463,-0.3365,0.2619,10.1825,0.1724,4.0965,-1.0,-1.0,1.0
-0.6869,-0.5319,-0.6003,9.3613,0.2993,4.8459,-1.0,1.0,1.0
-1.3941,0.2377,0.0442,9.9671,-1.1516,3.0335,-1.0,1.0,1.0
-2.6742,0.3288,-0.1055,9.3757,-2.241,3.0742,-1.0,1.0,1.0
-1.1778,0.5729,-0.1825,10.2137,-3.2777,2.8706,-1.0,1.0,1.0
-1.2604,2.4706,-0.8868,7.9487,-3.4931,3.7924,-1.0,1.0,1.0
-0.1114,1.5074,-0.3501,6.8833,-4.6448,4.8435,-1.0,1.0,1.0
2.2567,3.1464,-0.5622,3.5003,-4.458,5.8969,-1.0,1.0,1.0
-0.3693,0.7695,-0.611,1.6281,-1.4269,8.8442,-1.0,-1.0,1.0
2.6401,2.586,0.2433,-0.656,1.1612,8.9567,1.0,-1.0,1.0
1.6188,1.3209,0.3808,-2.4852,4.2569,8.9878,1.0,-1.0,1.0
-0.1263,0.433,-0.1026,-2.0087,2.8012,10.331,1.0,-1.0,1.0
1.3294,0.599,0.2286,-3.6799,3.3423,9.5146,1.0,-1.0,1.0
2.7014,2.1122,0.2627,-4.0797,0.8212,4.6974,1.0,-1.0,1.0
2.9876,0.737,-1.6542,-5.7916,3.8307,0.9146,1.0,-1.0,1.0
0.6366,-0.0037,-1.9734,-3.9552,11.6502,0.0646,1.0,-1.0,1.0
-0.0434,0.445,-1.6353,-1.2641,9.4667,0.6656,1.0,-1.0,1.0
0.8759,-0.6222,-1.2478,0.0168,9.3589,1.2186,-1.0,-1.0,1.0
0.7437,-0.5404,-1.4202,0.8475,7.2305,0.3304,-1.0,-1.0,-1.0
-1.6811,-0.9305,-2.9044,5.8251,11.5496,1.9393,-1.0,-1.0,1.0
-2.0358,-0.5705,-1.4128,6.6798,8.3989,2.7868,-1.0,-1.0,1.0
-3.5791,-1.0624,-0.5668,9.2464,5.1164,5.4348,-1.0,-1.0,1.0
-1.2345,-0.5934,-1.2636,8.509,1.3455,4.0845,-1.0,-1.0,1.0
-1.5612,-0.2793,-0.332,9.1626,0.51,4.9847,-1.0,-0.202,1.0
-0.8292,-0.3147,0.2702,10.1323,-1.0941,4.4604,-1.0,1.0,1.0
-1.2308,-0.308,-0.2667,10.0102,0.067,4.5083,-1.0,1.0,1.0
-1.2689,0.3501,0.1639,10.7667,0.1772,5.1332,-1.0,1.0,1.0
-2.8208,0.8156,0.4509,8.4779,-1.0391,2.6935,-1.0,1.0,1.0
-2.0976,3.3665,1.7299,8.7604,-2.1548,4.2138,-1.0,1.0,1.0
-1.3025,1.8527,-0.1969,6.3542,-2.1452,6.6463,-1.0,1.0,1.0
-2.0523,1.2644,-0.3384,5.5617,-3.4524,5.8562,-1.0,1.0,1.0
-1.3486,3.5597,0.1196,3.5195,-2.3559,7.0653,-1.0,1.0,1.0
-2.4477,2.0299,0.4341,1.0199,-4.221,4.9416,-1.0,1.0,1.0
-1.7616,2.2087,-0.1215,-0.9888,-3.1412,7.3741,1.0,1.0,1.0
-0.8106,2.7542,-1.1114,-0.0048,-4.9632,7.0437,1.0,1.0,1.0
-0.0346,1.7706,-1.3371,-3.7062,-3.9911,8.8681,1.0,1.0,1.0
0.3904,0.9363,-0.7426,-5.9616,-2.7294,5.5186,1.0,1.0,1.0
2.2159,1.4192,-1.359,-6.2106,-1.1516,8.3222,1.0,0.4089,1.0
1.7525,0.663,-1.5055,-6.529,1.1516,6.4404,1.0,-1.0,1.0
1.6188,0.7221,-1.3955,-6.0454,5.3079,6.3494,1.0,-1.0,1.0
1.4645,0.4447,-1.2732,-5.7796,5.6072,2.7078,1.0,-1.0,1.0
1.611,-0.2254,-2.1698,-5.0661,8.7364,0.6273,1.0,-1.0,1.0
0.8903,-0.0557,-1.3187,-3.2968,8.1355,0.1532,1.0,-1.0,1.0
-1.1181,-0.8023,-1.5892,-1.0199,9.3446,0.7374,1.0,-1.0,1.0
-1.8127,-1.1866,-2.6449,2.8754,10.8218,4.3479,-1.0,-1.0,1.0
-1.4512,-0.4602,-1.9622,5.861,12.548,5.3965,-1.0,-1.0,1.0
-2.8621,-1.1186,-0.6768,5.6,4.537,6.1986,-1.0,-1.0,1.0
-0.8649,-1.0509,-1.1548,7.1754,3.5985,6.2632,-1.0,-1.0,1.0
-0.5694,-0.2936,-0.8042,7.7907,2.9401,5.782,-1.0,-1.0,1.0
-0.2888,-0.2777,-0.7754,7.4364,2.3391,5.6431,-1.0,-1.0,0.3581
-1.194,-0.3389,-0.9017,9.1866,0.9601,6.4619,-1.0,1.0,1.0
-2.0328,0.1593,-0.0426,8.6072,0.5243,6.1938,-1.0,1.0,1.0
-2.8871,0.3357,0.7959,9.0716,-1.1899,5.5522,-1.0,1.0,1.0
-2.8999,0.3043,1.6462,9.9311,-1.7573,5.7892,-1.0,1.0,1.0
-1.4653,0.5729,0.9358,10.4555,-2.3487,5.1547,-1.0,1.0,1.0
-0.1724,1.0261,0.8833,8.5904,-1.9968,5.1643,-1.0,1.0,1.0
-0.3653,3.2951,0.2798,7.6519,-1.7789,7.5226,-1.0,1.0,1.0
0.1503,3.6838,0.1522,4.8028,-2.1213,7.6207,-1.0,1.0,1.0
-0.4487,0.8601,0.4916,0.419,-1.336,11.0444,-1.0,1.0,1.0
-2.8325,1.368,0.5183,0.1101,-2.9999,11.0397,1.0,1.0,1.0
-0.9761,1.7853,-0.3952,-0.8595,-5.3654,8.0254,1.0,1.0,1.0
-1.0922,0.2622,-0.1332,-1.3455,-6.1675,5.3247,1.0,1.0,1.0
0.392,2.1642,-1.5036,-3.4333,-6.0023,5.3032,1.0,1.0,1.0
4.5709,1.3398,-3.0068,-5.2577,-3.893,5.5713,1.0,1.0,1.0
