gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0301,0.0781,0.0059,0.1389,-0.5171,9.9503,-1.0,-1.0,1.0
0.0245,-0.0048,0.0173,0.1317,-0.3831,9.8689,-1.0,-1.0,1.0
-0.0003,0.0277,-0.0061,0.1796,-0.5028,10.0389,-1.0,-1.0,1.0
0.0224,0.0256,-0.0072,0.1101,-0.3424,10.0078,-1.0,-1.0,1.0
0.0157,0.041,-0.0237,0.2011,-0.4717,9.9718,-1.0,-1.0,1.0
-0.0125,0.0101,-0.0091,0.1389,-0.5387,10.1059,-1.0,-1.0,1.0
-0.0179,0.0333,-0.0333,0.1748,-0.3903,9.9359,-1.0,-1.0,1.0
-0.0312,0.0067,-0.0019,0.1221,-0.4788,10.0676,-1.0,-1.0,1.0
-0.0179,0.0581,-0.0109,0.1125,-0.4262,9.9024,-1.0,-1.0,1.0
-0.0306,0.0285,-0.0181,0.1077,-0.2562,9.8857,-1.0,-1.0,1.0
-0.0517,-0.0099,0.0373,0.0934,-0.4118,10.1083,-1.0,-1.0,1.0
-0.0757,0.1026,0.004,0.1173,-0.735,9.9407,-1.0,-1.0,1.0
-0.2014,0.1748,0.0085,-0.1341,-0.6991,9.5098,-1.0,-1.0,1.0
-0.1577,0.1847,-0.0221,-0.2634,-0.9098,10.2328,-1.0,-1.0,1.0
-0.1956,0.2478,0.0322,-0.7901,-1.1636,9.4355,-1.0,-1.0,1.0
-0.1631,0.1284,-0.1055,-0.7901,-1.4198,10.1921,-1.0,-1.0,1.0
-0.1332,0.0898,-0.117,-0.9984,-1.6257,9.8402,-1.0,-1.0,1.0
-0.1607,0.0464,-0.028,-1.075,-1.4461,9.6798,-1.0,-1.0,1.0
-0.2313,-0.0536,-0.1079,-1.2474,-1.3791,9.5361,-1.0,-1.0,1.0
-0.3419,-0.1444,-0.2044,-0.8428,-1.731,9.6055,-1.0,1.0,1.0
-0.8412,-0.3147,-0.8434,-0.9026,-2.0758,9.7061,-1.0,1.0,1.0
-0.6398,0.2198,-0.3091,-1.0295,-2.3367,9.3996,-1.0,1.0,1.0
-1.4261,-0.7485,-0.789,-1.142,-3.9911,9.153,-1.0,1.0,1.0
-0.8439,-0.8756,0.4389,-0.1556,-6.833,8.6502,-1.0,1.0,1.0
-0.3936,-0.1127,-0.2934,-0.4788,-4.0486,8.1331,-1.0,1.0,1.0
-1.4224,0.1029,-0.2046,-0.0383,-7.8171,7.355,-1.0,1.0,1.0
-0.0005,1.5436,-0.0778,-0.5339,-7.9416,7.8219,-1.0,1.0,1.0
0.8876,0.566,-0.4978,-1.0223,-7.0749,6.4883,-1.0,1.0,1.0
0.9715,0.1431,-0.5196,-2.1596,-5.782,7.5705,-1.0,1.0,1.0
0.9582,-0.8268,-0.3469,-1.8459,-4.6926,8.6119,-1.0,1.0,1.0
-0.1785,-0.6094,0.0341,-1.5155,-4.1755,9.3517,-1.0,1.0,1.0
-0.4602,-0.4365,1.4107,-1.5586,-4.4843,8.418,-1.0,1.0,1.0
-2.6564,0.4109,1.0528,-0.2203,-7.434,6.4883,-1.0,1.0,1.0
-1.6369,-0.2822,-0.4567,-0.2801,-7.671,5.9233,-1.0,1.0,1.0
-1.6867,-0.1577,-0.0839,-0.6393,-8.7771,5.0589,-1.0,1.0,1.0
-0.8303,-0.1697,0.0165,-0.2897,-9.1315,3.122,-1.0,1.0,1.0
2.2585,0.7573,-0.0245,-0.51,-8.5569,3.6823,-1.0,1.0,1.0
4.4934,0.2305,-0.3624,-0.929,-5.9137,8.4084,-1.0,1.0,1.0
1.7189,-0.2465,-0.0746,-0.0575,-4.1563,9.7827,-1.0,1.0,1.0
0.1474,0.012,0.4074,-0.1628,-4.8195,8.9136,-1.0,1.0,1.0
0.6145,0.0123,0.405,-0.6416,-3.7302,8.9687,-1.0,1.0,1.0
0.6728,0.2214,-0.1687,-0.2514,-3.1101,9.3278,-1.0,1.0,1.0
0.3192,0.0725,-0.2606,-0.6656,-2.8587,9.6941,-1.0,1.0,1.0
0.0437,-0.1492,-0.048,-0.7278,-2.545,9.7851,-1.0,1.0,1.0
0.3491,0.1327,-0.0141,-0.328,-3.0598,9.7851,-1.0,1.0,1.0
0.1785,0.0456,-0.0394,-0.5818,-2.399,9.7827,-1.0,1.0,1.0
-0.4194,-0.0685,0.1543,-0.4788,-2.6624,9.6654,-1.0,1.0,1.0
-0.3211,-0.4517,-0.316,-0.0886,-2.5163,10.3477,-1.0,1.0,1.0
-0.226,-0.0568,0.0072,0.0215,-3.3662,9.1267,-1.0,1.0,1.0
-0.0957,0.8319,-0.2284,0.1891,-4.6807,9.2847,-1.0,1.0,1.0
-0.7202,0.1801,-0.5087,-0.826,-2.4277,9.074,-1.0,1.0,1.0
-1.3318,0.0911,0.049,-0.68,-4.209,8.8945,-1.0,1.0,1.0
-0.8708,0.0778,0.097,-0.6321,-5.6743,8.6598,-1.0,1.0,1.0
-0.547,0.0533,-0.2683,-0.5363,-6.1723,7.9559,-1.0,1.0,1.0
-0.7466,-0.0568,-0.1431,-0.826,-6.6248,7.3741,-1.0,1.0,1.0
0.1375,-0.1426,-0.2348,-0.905,-6.4572,7.4867,-1.0,1.0,1.0
0.1514,-0.04,-0.1114,-0.8643,-6.4117,7.4915,-1.0,1.0,1.0
0.5641,0.0962,-0.2745,-1.2426,-5.9161,7.853,-1.0,1.0,1.0
0.8942,0.2801,-0.1524,-1.8244,-4.9728,9.232,-1.0,1.0,1.0
0.4988,0.6275,-0.2225,-2.4804,-4.9512,8.9423,-1.0,1.0,1.0
0.8308,1.8079,-0.1761,-3.2633,-4.1922,7.9823,1.0,1.0,1.0
0.7733,1.1309,-0.146,-4.3958,-2.9353,8.2432,1.0,1.0,1.0
0.3635,0.6203,-0.0309,-5.284,-2.4684,8.2121,1.0,1.0,1.0
0.1641,0.2822,-0.0091,-5.7485,-2.2003,7.932,1.0,1.0,1.0
-0.0008,0.1426,-0.0751,-5.8347,-2.3439,7.6375,1.0,1.0,1.0
-1.4575,-1.3995,1.0576,-5.1595,-3.237,7.5848,1.0,1.0,1.0
-1.6358,-1.7397,1.3448,-3.4836,-5.1499,8.0709,1.0,1.0,1.0
-0.6233,-1.1626,-0.1127,-1.9824,-6.45,7.6136,-1.0,1.0,1.0
-0.7751,-0.4767,0.1194,-1.2067,-6.7804,7.2975,-1.0,1.0,1.0
-0.1292,-0.4279,0.0453,-0.7901,-6.6774,7.0797,-1.0,1.0,1.0
-0.0043,-0.4261,0.1053,-0.1245,-6.5457,7.0892,-1.0,1.0,1.0
-0.0709,-0.3816,0.2859,0.1053,-6.8091,7.3023,-1.0,1.0,1.0
0.6041,0.0149,-0.0842,0.1341,-7.1682,7.2927,-1.0,1.0,1.0
0.8591,-0.3629,-0.4842,0.419,-6.4524,7.6303,-1.0,1.0,1.0
1.6028,-0.4471,-0.372,0.2155,-4.9632,7.7596,-1.0,1.0,1.0
-1.9007,0.4903,-0.0554,-0.2993,-3.4548,9.7707,-1.0,1.0,1.0
-0.5899,-0.1061,-0.2094,-0.2514,-5.6312,8.5042,-1.0,1.0,1.0
-1.0429,-0.6187,0.3203,0.4118,-5.2696,7.5513,-1.0,1.0,1.0
0.2209,-0.1601,0.2174,1.1277,-6.4117,8.1044,-1.0,1.0,1.0
-0.1127,0.1268,0.2888,1.0343,-6.438,7.8554,-1.0,1.0,1.0
-0.5241,-0.0061,0.2851,1.415,-6.4332,6.7947,-1.0,1.0,1.0
-0.4588,-0.8577,-0.0149,1.8579,-6.8833,6.7086,-1.0,1.0,1.0
-0.2998,-0.9864,0.2675,2.4948,-6.6032,7.6088,-1.0,1.0,1.0
0.1932,-0.2832,0.0578,2.9185,-7.0102,6.9791,-1.0,1.0,1.0
0.0144,-0.2761,0.0517,3.2777,-6.9815,6.3231,-1.0,1.0,1.0
0.2537,-0.2801,-0.129,3.4476,-7.082,6.5769,-1.0,1.0,1.0
0.069,0.1234,-0.041,3.3806,-7.0773,6.7852,-1.0,1.0,1.0
0.4413,0.6619,-0.3171,3.1723,-6.9839,7.0413,-1.0,1.0,1.0
1.2484,1.2793,-0.4652,1.4413,-5.5976,8.3151,-1.0,1.0,1.0
1.1016,0.9478,-0.3984,0.3184,-4.9632,8.4827,-1.0,1.0,1.0
0.7189,0.8042,-0.2417,-0.8667,-3.8211,9.2033,-1.0,1.0,1.0
0.6622,0.9014,-0.2619,-1.3001,-4.5155,9.347,-1.0,1.0,1.0
0.4906,0.8556,-0.0437,-2.059,-3.5123,9.2584,-1.0,1.0,1.0
0.2241,0.7906,0.0472,-3.1627,-2.7198,9.1985,1.0,1.0,1.0
0.2627,0.8969,-0.0264,-3.7038,-2.5163,8.77,1.0,1.0,1.0
