gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0778,-0.0533,-0.0032,0.5339,-0.8332,10.1251,-1.0,-1.0,1.0
-0.0325,0.0008,0.0179,0.4764,-1.2402,9.5313,-1.0,-1.0,1.0
-0.0242,0.0858,-0.0522,0.2131,-0.6967,9.3924,-1.0,-1.0,1.0
0.0211,0.0344,-0.0211,0.5004,-0.7063,10.1754,-1.0,-1.0,1.0
0.0189,0.0218,-0.0309,0.5555,-0.7614,9.6917,-1.0,-1.0,1.0
0.008,0.0117,0.0045,0.4238,-0.7422,9.7396,-1.0,-1.0,1.0
0.0253,0.041,-0.0341,0.4788,-0.826,10.0006,-1.0,-1.0,1.0
-0.0088,0.0109,-0.0112,0.3711,-0.7925,9.6606,-1.0,-1.0,1.0
-0.1005,0.1255,-0.0514,0.4142,-0.7087,10.2256,-1.0,-1.0,1.0
-0.2539,0.2862,0.0176,0.2682,-1.0127,10.2065,-1.0,-1.0,1.0
-0.5633,0.987,0.1175,-0.2514,-1.3479,9.3948,-1.0,-0.8129,1.0
-1.4536,0.2675,0.5244,-0.6967,-1.7406,10.386,-1.0,1.0,1.0
-0.1452,0.1287,0.4522,-0.2705,-3.4285,9.2895,-1.0,1.0,1.0
-0.1348,-0.1977,0.1966,-0.3615,-3.1029,9.5193,-1.0,1.0,1.0
-0.4751,-0.5127,0.0826,-0.0096,-3.6631,9.3302,-1.0,1.0,1.0
-0.0245,-0.2001,0.0957,0.3903,-3.7685,8.928,-1.0,1.0,1.0
-0.4519,-0.9006,-0.0421,0.6393,-3.8283,8.5976,-1.0,1.0,1.0
-0.2721,-0.6286,-0.0021,1.221,-4.0917,9.098,-1.0,1.0,1.0
-0.134,-0.3762,0.0352,1.8747,-4.5586,8.6479,-1.0,1.0,1.0
-0.0834,-0.4466,0.0802,2.3607,-4.604,8.2959,-1.0,1.0,1.0
0.0648,0.122,-0.0472,2.4636,-4.6017,8.6383,-1.0,1.0,1.0
0.2601,0.3643,-0.1684,2.0734,-4.5442,9.0357,-1.0,1.0,1.0
0.9174,1.5095,-0.7719,1.4653,-4.3766,9.2536,-1.0,1.0,1.0
0.8665,1.1666,-0.5825,-0.3472,-3.0358,9.4691,-1.0,1.0,1.0
0.2356,0.461,-0.3824,-1.0415,-2.9975,9.0022,-1.0,1.0,1.0
-0.056,-0.2617,-0.2958,-1.4988,-2.4565,8.9735,-1.0,1.0,1.0
0.1311,0.0264,-0.2976,-1.1325,-2.9329,9.979,-1.0,1.0,1.0
0.1063,-0.1124,-0.3523,-1.2354,-2.1404,9.0692,-1.0,1.0,1.0
