gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0099,-0.1572,0.0933,-1.7837,-0.9864,9.6462,1.0,-1.0,1.0
0.2161,-0.0663,0.0101,-1.0151,-0.2682,10.2592,1.0,-1.0,1.0
0.1623,-0.0663,0.0624,-1.2546,-0.7015,9.7564,1.0,-1.0,1.0
0.0312,0.0581,-0.126,-1.7334,-0.5531,9.8258,1.0,-1.0,1.0
-0.1633,-0.0349,-0.0104,-1.5323,-0.9098,10.0916,1.0,-1.0,1.0
-0.214,0.02,-0.0965,-1.6305,-0.8882,10.331,1.0,-1.0,1.0
-0.2494,-0.0037,-0.2164,-1.3719,-1.0343,9.8569,1.0,-1.0,1.0
-0.3933,0.2409,-0.5446,-1.7047,-1.008,9.2991,1.0,-1.0,1.0
-0.3195,0.4021,-0.5875,-1.8794,-1.0678,9.3182,1.0,1.0,1.0
-0.19,0.239,-0.4133,-2.3966,-1.4198,9.1004,1.0,1.0,1.0
-0.2827,0.0775,-0.1103,-2.8922,-2.0806,9.742,1.0,1.0,1.0
-0.3184,-0.0245,0.0797,-2.5355,-2.478,9.3877,1.0,1.0,1.0
-0.215,0.025,0.0786,-2.4876,-2.9185,9.4308,1.0,1.0,1.0
-0.2486,-0.0389,0.0384,-2.5259,-3.0478,8.849,1.0,1.0,1.0
-0.0336,0.0413,0.0296,-2.3774,-3.4524,9.0716,1.0,1.0,1.0
-0.4879,-0.0789,0.1356,-2.3391,-3.0622,8.7724,1.0,1.0,1.0
-0.9334,-0.3869,0.3765,-1.7861,-4.4676,8.6383,1.0,1.0,1.0
-1.4839,-0.5177,1.0344,-1.3312,-5.6096,8.6981,0.6711,1.0,1.0
-1.3161,-0.227,1.1399,0.1532,-6.79,7.331,-1.0,1.0,1.0
-0.2118,-0.0075,0.4967,0.5339,-7.5944,7.2832,-1.0,1.0,1.0
-0.5974,0.0826,0.457,0.8763,-8.2217,5.9472,-1.0,1.0,1.0
0.0685,-0.0568,0.0341,0.929,-8.102,5.9352,-1.0,1.0,1.0
0.3842,0.0029,0.02,0.9481,-7.5968,6.2201,-1.0,1.0,1.0
1.6822,0.211,0.2585,1.719,-6.1004,7.7165,-1.0,1.0,1.0
1.8588,0.1719,-0.4194,1.1349,-5.8203,8.9064,-1.0,1.0,1.0
1.5791,0.0011,-0.9348,0.6201,-3.1412,8.8154,-1.0,1.0,1.0
1.2327,0.3794,-0.4426,0.091,-1.6807,10.1921,-1.0,1.0,1.0
0.9585,0.3992,-0.2539,-0.261,-0.6656,10.1299,-1.0,-1.0,1.0
1.0573,0.4895,-0.5729,-0.6871,0.5219,10.1634,-1.0,-1.0,1.0
0.6582,0.2321,-0.4058,-0.7518,1.585,9.3685,-1.0,-1.0,1.0
-0.1873,-0.2182,-0.0442,-1.0008,2.2577,9.9168,-1.0,-1.0,1.0
-0.1676,-0.1231,-0.3826,-0.9984,1.415,10.1586,-1.0,-1.0,1.0
-0.2547,-0.0946,-0.1583,-0.7901,1.3671,9.8833,-1.0,-1.0,1.0
-0.4229,-0.1761,0.0147,-0.565,1.2043,9.6199,-1.0,-1.0,1.0
-0.7136,0.214,-0.2046,-0.3903,-0.103,10.5776,-1.0,-1.0,1.0
-1.1301,0.7997,-0.551,0.0958,2.2817,9.3158,-1.0,-1.0,1.0
-1.408,0.2867,0.4607,-1.2498,-1.4868,9.244,-1.0,1.0,1.0
-1.813,0.2494,0.551,-1.3431,-3.6679,9.7372,-1.0,1.0,1.0
-1.7304,0.4975,-0.0637,-1.561,-4.7262,8.5928,1.0,1.0,1.0
-0.3954,0.4269,-0.9537,-2.4684,-5.4779,7.6806,1.0,1.0,1.0
1.2681,0.8274,-1.0296,-2.6169,-4.8099,7.0988,1.0,1.0,1.0
0.3051,0.3941,-0.514,-4.0055,-3.5195,7.5561,1.0,1.0,1.0
0.0301,0.0104,0.0112,-4.2425,-3.7876,8.1906,1.0,1.0,1.0
0.0269,-0.0687,0.1431,-4.1156,-3.96,7.9799,1.0,1.0,1.0
-0.1863,-0.3776,0.5457,-3.7445,-4.3551,7.9176,1.0,1.0,1.0
-0.7266,-0.6033,1.1485,-3.134,-4.1132,8.9687,1.0,1.0,1.0
-1.2191,-0.1005,1.2742,-1.8914,-5.8083,7.9535,1.0,1.0,1.0
-1.3059,-0.1804,1.0421,-0.9361,-6.4667,7.1491,-1.0,1.0,1.0
-0.4964,-0.0629,0.4301,0.067,-8.7317,6.1746,-1.0,1.0,1.0
-0.9843,0.012,0.477,0.2179,-7.9918,4.9799,-1.0,1.0,1.0
-0.0517,-0.0863,0.3821,0.498,-8.4539,5.0135,-1.0,1.0,1.0
-0.2124,0.0061,0.6368,1.1851,-8.6335,5.5713,-1.0,1.0,1.0
0.4575,0.0919,0.0546,1.2378,-8.8538,5.2433,-1.0,1.0,1.0
1.606,-0.0253,-0.1287,0.8859,-8.1475,5.8538,-1.0,1.0,1.0
3.2937,-0.1415,-0.6499,1.245,-7.5393,7.1563,-1.0,1.0,1.0
1.8583,0.4772,-0.5881,-0.0694,-3.881,9.2177,-1.0,1.0,1.0
2.262,0.2017,-0.9116,-0.7614,-1.7645,9.7109,-1.0,1.0,1.0
1.2534,0.1796,-0.2481,-1.5443,0.7326,9.6534,-1.0,-1.0,1.0
0.6656,0.1346,-0.3544,-1.3408,1.7645,9.8665,-1.0,-1.0,1.0
0.4727,-0.0032,-0.263,-1.3862,2.4588,9.232,-1.0,-1.0,1.0
0.2875,0.1138,0.0405,-1.5538,3.2274,9.505,-0.759,-1.0,1.0
-0.1484,0.1785,-0.1585,-1.6496,3.2801,9.2536,-0.187,-1.0,1.0
-0.2952,0.0456,-0.0842,-1.2737,1.2617,10.2879,1.0,-1.0,1.0
-1.1386,-0.2547,-0.0061,-1.6951,2.4157,9.9814,-1.0,-1.0,1.0
-2.1496,-0.1455,0.1932,-1.2043,0.7111,10.2424,-1.0,-1.0,1.0
-0.8029,-0.0895,-0.0874,-1.4102,-0.7374,10.1945,-1.0,1.0,1.0
-1.9047,-0.7866,-0.1553,-1.2929,-1.4413,9.5529,-1.0,1.0,1.0
-2.8565,-0.5319,-0.1529,-1.1732,-3.4429,9.979,-1.0,1.0,1.0
-1.1056,-0.1005,0.1252,-0.1221,-6.6463,7.4891,-1.0,1.0,1.0
-0.2108,0.2201,-0.2627,-0.0215,-6.936,7.1275,-1.0,1.0,1.0
-0.7512,-0.0671,-0.065,-0.5195,-6.4332,7.3478,-1.0,1.0,1.0
-0.2606,-0.0863,-0.3288,-0.6464,-7.3957,7.2233,-1.0,1.0,1.0
0.7139,-0.126,-0.1583,-0.6919,-6.9264,6.8785,-1.0,1.0,1.0
1.1357,0.1463,-0.1463,-0.6297,-6.6008,8.0158,-1.0,1.0,1.0
0.3997,0.1793,0.109,-0.7925,-5.6168,7.7979,-1.0,1.0,1.0
-0.024,-0.1799,0.1199,-0.8523,-5.3271,8.0924,-1.0,1.0,1.0
-0.7701,-0.1279,0.2153,-0.3065,-4.8387,8.8825,-1.0,1.0,1.0
-2.4304,-0.0368,0.7738,0.0527,-6.1675,7.2018,-1.0,1.0,1.0
-0.1913,0.1836,0.9172,0.9409,-8.1187,6.359,-1.0,1.0,1.0
0.0432,0.0522,0.5396,1.0989,-7.7812,6.517,-1.0,1.0,1.0
-0.0624,0.0258,0.3142,1.4222,-7.1898,6.9049,-1.0,1.0,1.0
0.1673,0.0226,0.0091,1.415,-7.501,7.003,-1.0,1.0,1.0
0.4962,0.0951,-0.2292,1.2593,-7.1515,6.8498,-1.0,1.0,1.0
0.2883,0.061,-0.0354,1.0582,-6.6415,7.331,-1.0,1.0,1.0
1.1114,0.1186,-0.1785,1.0008,-6.4284,7.4077,-1.0,1.0,1.0
1.105,0.2044,-0.0618,0.9218,-5.624,8.2313,-1.0,1.0,1.0
2.6577,0.3307,0.0397,0.838,-3.9744,9.1554,-1.0,1.0,1.0
1.3019,0.2068,-0.2318,0.395,-1.913,9.7995,-1.0,1.0,1.0
0.4269,-0.1356,-0.1372,0.3974,-0.9625,10.2376,-1.0,-1.0,1.0
0.5369,0.1332,-0.4306,0.103,-1.1851,10.0437,-1.0,-1.0,1.0
0.3325,0.1247,-0.5108,0.486,-0.1173,10.1418,-1.0,-1.0,1.0
0.5732,0.0554,-0.6726,0.2442,-0.1556,8.9926,-1.0,-1.0,1.0
0.11,0.0274,-0.2649,0.2251,0.7422,9.7707,-1.0,-1.0,1.0
