gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0378,0.0376,-0.0056,-1.4245,-2.6839,9.6702,1.0,1.0,1.0
-0.0775,0.0773,-0.0874,-1.2905,-2.4828,9.5816,1.0,1.0,1.0
-0.122,0.0605,0.0373,-1.2857,-2.5738,9.1435,1.0,1.0,1.0
-0.0232,0.0232,0.0192,-1.5012,-2.8084,9.7635,1.0,1.0,1.0
0.1623,0.0506,0.0402,-1.6568,-3.0406,9.9479,1.0,1.0,1.0
-0.0613,0.3355,-0.214,-1.731,-2.6791,9.8617,1.0,1.0,1.0
0.4458,0.4221,-0.5201,-2.1691,-3.2274,9.5409,1.0,1.0,1.0
0.8881,0.6755,-0.6478,-2.7845,-1.6352,8.7628,1.0,1.0,1.0
0.4967,0.3448,-0.8484,-3.4046,-0.5243,9.086,1.0,1.0,1.0
0.2246,0.1061,-0.9108,-2.9904,1.336,8.4779,1.0,-1.0,1.0
0.4125,-0.9206,-0.4943,-2.7964,2.1979,7.6543,1.0,-1.0,1.0
0.0392,-1.0054,-0.373,-1.8962,1.5993,8.7245,1.0,-1.0,1.0
-0.0786,-1.1946,0.0981,-1.4988,4.2904,8.8298,-1.0,-1.0,1.0
0.2217,-0.9729,-0.1162,0.4238,1.8483,11.1402,-1.0,-1.0,1.0
-0.5814,-0.49,-0.5918,0.5531,3.0167,8.2289,-1.0,-1.0,1.0
-0.4274,-1.0712,0.2774,1.6089,2.2817,9.4164,-1.0,-1.0,1.0
-0.6789,-1.0427,0.1916,2.5929,2.8108,9.0118,-1.0,-1.0,1.0
-1.3174,-0.9121,0.4946,3.0119,1.3072,9.7827,-1.0,-1.0,1.0
-1.9137,-0.4186,0.5023,4.5131,0.5171,9.8665,-1.0,-1.0,1.0
-1.4261,-0.0019,0.4706,4.3646,-1.6592,9.7683,-1.0,0.4089,1.0
-1.5242,0.0759,0.3733,4.1683,-2.0949,8.9112,-1.0,1.0,1.0
-0.9537,0.1498,0.1154,4.3407,-3.0358,8.8107,-1.0,1.0,1.0
-1.8271,0.0786,0.0517,3.7733,-5.2529,9.2105,-1.0,1.0,1.0
-1.4386,0.5476,0.0885,3.1891,-6.6726,8.3414,-1.0,1.0,1.0
-0.801,1.6755,-0.5236,3.2896,-7.6614,7.5178,-1.0,1.0,1.0
-0.1085,0.643,-0.6254,1.7573,-8.1642,6.675,-1.0,1.0,1.0
2.1914,1.5857,-1.8349,-0.0479,-9.347,7.5202,-1.0,1.0,1.0
3.1829,1.6942,-1.6976,-1.6592,-4.4245,8.6574,1.0,1.0,1.0
