gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0053,0.0456,-0.0096,0.3065,-1.1732,9.7827,-1.0,1.0,1.0
0.0045,0.0149,0.0029,0.2083,-0.9649,9.6127,-1.0,1.0,1.0
0.0064,-0.0064,0.0189,0.2897,-1.1325,9.9264,-1.0,1.0,1.0
0.0091,0.0376,0.0128,0.1724,-1.2546,9.8569,-1.0,1.0,1.0
-0.0107,0.0381,-0.0187,0.1269,-1.2522,9.4595,-1.0,1.0,1.0
0.0232,-0.0637,0.0288,0.4381,-1.312,9.8976,-1.0,1.0,1.0
0.0083,-0.0024,0.0107,0.4405,-1.2641,10.1251,-1.0,1.0,1.0
0.0365,-0.0093,-0.0256,0.4477,-1.2378,10.0532,-1.0,1.0,1.0
-0.0056,0.0378,-0.0482,0.5028,-1.2857,9.991,-1.0,1.0,1.0
-0.0013,-0.0037,-0.0333,0.6129,-1.2665,10.1203,-1.0,1.0,1.0
-0.0213,-0.0376,-0.0442,0.6632,-1.0989,10.2448,-1.0,1.0,1.0
-0.0059,0.0917,-0.0874,0.3543,-1.0989,9.8809,-1.0,1.0,1.0
0.1399,1.6086,-0.5812,0.3304,-2.1332,12.0213,-1.0,1.0,1.0
-0.0338,2.2391,-0.2707,-2.3679,-0.6632,9.7324,1.0,1.0,1.0
-0.2995,2.6111,-0.4668,-3.5889,-1.4198,6.5697,1.0,1.0,1.0
-0.2579,2.5202,-0.5263,-6.6008,0.7685,4.7166,1.0,1.0,1.0
0.3936,1.2071,-0.0019,-8.1523,0.5267,2.15,1.0,1.0,1.0
-0.0176,0.4189,-0.1522,-8.7532,-0.3424,3.1627,1.0,1.0,1.0
-0.0203,0.0962,0.0381,-8.6718,-0.34,3.8547,1.0,1.0,1.0
0.0048,-0.0067,0.105,-8.8226,-0.1844,3.96,1.0,1.0,1.0
-0.0906,-0.0013,-0.065,-9.0956,-0.1772,4.4412,1.0,1.0,1.0
-0.0024,-0.0946,-0.061,-8.8969,-0.249,4.3479,1.0,1.0,1.0
0.0538,-0.2753,0.1772,-8.7676,0.1676,4.5921,1.0,1.0,1.0
-0.2425,-0.5857,0.1367,-8.3079,-0.8667,5.8969,1.0,1.0,1.0
-0.0314,-1.1554,0.1964,-7.7333,-0.8859,5.6312,1.0,1.0,1.0
-0.1215,-2.4099,0.3152,-5.7533,-2.0375,7.5705,1.0,1.0,1.0
0.296,-2.1794,0.1156,-4.13,-1.7142,10.0221,1.0,1.0,1.0
-0.0131,-1.6814,0.2353,-1.0702,-1.3767,9.1387,1.0,1.0,1.0
-0.0608,-2.2737,0.6206,0.3065,-0.5842,8.9591,-1.0,1.0,1.0
0.056,-1.6022,0.4242,2.8467,-1.5945,10.75,-1.0,1.0,1.0
0.1362,-1.1389,0.1679,3.9672,-1.3599,10.1777,-1.0,1.0,1.0
0.1306,-0.8266,0.0298,4.6471,-1.2761,10.3094,-1.0,1.0,1.0
0.0416,-0.7157,0.2699,5.0182,-0.9146,9.4355,-1.0,1.0,1.0
0.0757,-0.3163,0.2747,5.1763,-1.0343,9.6055,-1.0,1.0,1.0
0.024,0.1679,-0.0381,6.0262,-1.5227,9.6941,-1.0,1.0,1.0
-0.0941,0.2582,-0.1545,5.4731,-1.257,8.7125,-1.0,1.0,1.0
0.1553,1.1658,-0.2078,5.1811,-1.1516,9.0046,-1.0,1.0,1.0
0.497,2.2591,-0.0632,3.9863,-1.2617,10.5919,-1.0,1.0,1.0
0.0778,1.5926,-0.1013,1.7789,-0.8882,9.3087,-1.0,1.0,1.0
-0.3152,0.8844,-0.1138,0.3735,-0.9601,9.7468,-1.0,1.0,1.0
-0.0624,0.7144,-0.0163,-0.5195,-0.8092,10.3789,-1.0,1.0,1.0
-0.2729,0.4072,-0.1596,-0.9361,-0.2083,8.4898,-1.0,1.0,1.0
0.2332,0.4943,-0.3611,-1.4988,-0.577,8.2576,-0.759,1.0,1.0
0.049,0.113,-0.0501,-1.5443,-0.4094,8.5066,1.0,1.0,1.0
-0.0735,0.1735,0.0325,-1.9968,-0.7757,9.0357,1.0,1.0,1.0
0.1711,0.0919,0.0328,-2.4325,-1.1253,8.6287,1.0,1.0,1.0
0.3184,-0.2936,0.1559,-1.9704,-1.245,9.845,1.0,1.0,1.0
0.1191,-0.6057,-0.0205,-1.4317,-1.6352,10.6686,1.0,1.0,1.0
1.7722,0.3325,0.2129,-1.5634,-1.0032,10.6015,1.0,-1.0,1.0
3.2423,0.0453,0.3349,-1.3934,2.8371,8.0373,1.0,-1.0,1.0
1.8996,-0.3901,0.0839,-1.8531,4.6376,9.0142,1.0,-1.0,1.0
1.3739,-0.0541,0.3432,-1.3288,6.608,8.4563,1.0,-1.0,1.0
0.5212,-0.1151,0.2971,-1.8459,6.213,6.7301,1.0,-1.0,1.0
-0.284,-0.1103,0.0376,-1.7526,6.2489,7.2233,1.0,-1.0,1.0
-0.9617,-0.0711,-0.1783,-1.6759,6.5577,7.9751,1.0,-1.0,1.0
-3.8323,-0.0679,-0.117,-1.0726,5.1212,9.177,0.3851,-1.0,1.0
-2.6827,-0.6257,-0.4343,-0.7183,0.8882,9.414,-1.0,-1.0,1.0
-2.1602,0.2803,-0.5079,-0.1604,-1.8675,10.3382,-1.0,1.0,1.0
-0.9316,0.1002,-0.534,-0.5004,-2.9018,11.8106,-1.0,1.0,1.0
-1.9268,0.1242,-0.6408,-0.9673,-3.8427,10.058,-1.0,1.0,1.0
-1.6145,0.3563,-0.6374,-1.5562,-5.5545,7.6926,0.3851,1.0,1.0
-1.8191,0.1223,-0.7725,-2.4301,-6.6607,5.2002,1.0,1.0,1.0
-1.4064,0.1561,-0.2846,-2.9616,-8.3175,5.3606,1.0,1.0,1.0
0.0232,0.0218,-0.2433,-3.2633,-8.9711,4.4819,1.0,1.0,1.0
1.3158,0.0189,0.1428,-3.1867,-8.9926,5.6072,1.0,1.0,1.0
2.5085,0.0099,0.3485,-2.1691,-7.7716,8.0948,1.0,1.0,1.0
2.6833,-0.1042,0.5665,-1.2593,-4.7357,8.6526,1.0,1.0,1.0
2.3118,-0.7618,0.9254,-1.3144,-1.403,9.2512,-1.0,1.0,1.0
1.0168,-0.1351,0.4498,-0.7614,-1.5921,10.7715,-1.0,1.0,1.0
-0.0485,0.0184,0.1258,-0.9816,-0.2011,10.2615,-1.0,-1.0,1.0
0.2505,0.1895,-0.0648,-1.3336,0.2897,8.9328,-1.0,-1.0,1.0
-0.1335,-0.0578,-0.061,-1.0295,-0.2729,10.7284,-1.0,-1.0,1.0
0.2822,-0.4604,0.2987,-1.3886,0.3208,8.9711,-1.0,-1.0,1.0
-0.319,-0.0272,-0.1428,-1.336,0.6464,10.1323,-1.0,1.0,1.0
-0.8013,1.5812,-0.1524,-1.5586,-1.1756,13.1059,1.0,1.0,1.0
0.1108,2.0283,0.0187,-3.7278,-1.8004,9.3996,1.0,1.0,1.0
-0.2609,2.2553,-0.3808,-4.9919,-1.4533,8.2696,1.0,1.0,1.0
