gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.1282,0.0069,-0.0376,0.3184,-0.3998,10.2783,-1.0,-1.0,1.0
0.3046,-0.0253,0.045,0.5243,0.1053,10.4244,-1.0,-1.0,1.0
1.3504,0.1204,0.2718,0.4262,1.0008,11.1522,-1.0,-1.0,1.0
1.3915,0.2132,-0.0767,0.7302,1.5371,9.2057,-1.0,-1.0,1.0
3.2343,1.0728,0.3624,0.2251,4.5562,7.9464,-1.0,-1.0,1.0
2.0307,0.9753,-0.0488,-0.8835,6.3375,6.2848,-1.0,-1.0,1.0
0.8687,0.284,-0.7221,-1.4653,8.6502,4.4987,-1.0,-1.0,1.0
0.4101,-0.2577,-0.4072,-1.0367,8.7652,4.6543,-1.0,-1.0,1.0
-0.4279,-0.0887,-0.3056,-0.8763,9.8833,5.0039,-1.0,-1.0,1.0
-5.3932,-0.3118,0.7525,-1.2378,8.9998,6.7923,-1.0,-1.0,1.0
-4.8864,-1.5481,0.8657,0.2131,3.1172,8.9184,-1.0,-1.0,1.0
-3.1224,-1.3542,0.5377,1.0654,-1.3719,9.8833,-1.0,-1.0,1.0
-2.4373,-1.1087,0.8974,2.0375,-3.6512,8.1235,-1.0,1.0,1.0
-2.1701,-1.6001,0.7997,3.7661,-6.505,6.3973,-1.0,1.0,1.0
-0.9398,-1.2004,1.2657,5.8826,-7.5657,4.7525,-1.0,1.0,1.0
0.0213,0.4367,0.8346,7.0318,-8.7101,4.2353,-1.0,1.0,1.0
2.8296,2.4008,-0.4122,6.2058,-6.8187,5.4109,-1.0,1.0,1.0
3.0734,2.5165,-0.2158,4.1922,-4.4436,7.5992,-1.0,1.0,1.0
1.6414,0.6779,-0.655,2.0758,-2.2817,7.2544,-1.0,-1.0,1.0
0.0304,-0.1095,-0.1194,1.8771,-1.6544,8.6694,-1.0,-1.0,1.0
-0.0584,-0.1572,0.1058,1.992,-1.664,9.0884,-1.0,-1.0,1.0
0.0482,-0.8601,0.1031,2.4565,-1.901,9.6678,-1.0,-1.0,1.0
