gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
0.0003,-0.0016,-0.0139,-0.2035,-0.3089,9.9479,-1.0,-1.0,1.0
-0.0096,0.0378,-0.037,-0.3256,-0.2251,9.6654,-1.0,-1.0,1.0
0.0075,0.016,0.0197,-0.3783,-0.0359,9.9048,-1.0,-1.0,1.0
0.0394,0.0123,0.0226,-0.2466,-0.2298,9.9024,-1.0,-1.0,1.0
0.0437,0.0272,-0.0019,-0.1963,-0.3089,9.9311,-1.0,-1.0,1.0
-0.0037,0.0013,0.0272,-0.1796,-0.3783,10.1251,-1.0,-1.0,1.0
0.0051,-0.0093,0.0032,-0.2298,-0.2322,9.9958,-1.0,-1.0,1.0
-0.0029,0.0064,-0.0053,-0.2801,-0.2562,10.1418,-1.0,-1.0,1.0
-0.0021,-0.0509,-0.0975,-0.1221,-0.3639,9.8521,-1.0,-1.0,1.0
-0.0679,-0.1495,-0.3968,-0.0096,-0.4549,9.651,-1.0,-1.0,1.0
-0.0815,-0.1948,-0.045,0.2586,-0.6249,10.1394,-1.0,-1.0,1.0
-0.2891,-0.5481,-0.4663,0.6321,-0.668,9.5169,-1.0,-1.0,1.0
-0.2286,-0.4445,-0.3248,1.0439,-0.7901,10.8194,-1.0,1.0,1.0
0.4924,0.1375,-0.3962,1.3934,-2.0087,10.1442,-1.0,-1.0,1.0
0.1143,-0.0197,-0.401,0.8595,-0.3974,10.0317,-1.0,-1.0,1.0
-0.0823,-0.0413,-0.1647,0.9936,-0.5483,10.1251,-1.0,1.0,1.0
0.1775,0.1519,-0.239,0.9529,-0.5842,9.8665,-1.0,1.0,1.0
-0.2395,0.0541,0.1463,0.8787,-0.1484,10.3549,-1.0,1.0,1.0
-0.0445,0.1319,0.1412,0.996,-0.9529,9.9647,-1.0,1.0,1.0
-0.0682,0.1442,0.0983,0.6991,-0.9122,10.1562,-1.0,1.0,1.0
-0.239,0.146,0.2395,0.51,-0.9026,10.2472,-1.0,1.0,1.0
-0.0919,0.145,0.186,0.7614,-1.9465,9.5792,-1.0,1.0,1.0
-0.085,-0.0173,0.1633,0.5124,-1.4653,9.7372,-1.0,1.0,1.0
-0.0216,-0.0232,0.1599,0.5435,-1.4365,9.9024,-1.0,1.0,1.0
0.0051,0.0445,0.0171,0.7494,-1.9896,9.9766,-1.0,1.0,1.0
0.0442,-0.0125,-0.0634,0.6704,-1.652,9.6558,-1.0,1.0,1.0
0.1119,-0.0317,-0.2233,0.6416,-1.7214,9.6606,-1.0,1.0,1.0
-0.0179,0.0258,-0.2473,0.5387,-1.1803,10.0197,-1.0,1.0,1.0
-0.012,0.3648,-0.6107,0.5124,-1.4437,10.5201,-1.0,1.0,1.0
0.0133,0.3168,-0.4048,0.0072,-1.0151,9.3853,-1.0,1.0,1.0
-0.0666,0.0378,-0.1402,-0.1867,-1.4222,9.754,-1.0,1.0,1.0
-0.0298,0.1322,-0.1279,-0.407,-1.4293,9.9479,-1.0,1.0,1.0
-0.0333,0.0522,-0.2068,-0.3926,-1.5419,9.6103,-1.0,1.0,1.0
-0.0232,0.0514,-0.0613,-0.5028,-1.2546,9.7205,-1.0,1.0,1.0
-0.0123,0.0711,-0.0461,-0.431,-1.4844,9.7851,-1.0,1.0,1.0
-0.0624,0.0266,-0.0469,-0.4717,-1.8004,9.8713,-1.0,1.0,1.0
-0.0632,-0.0727,-0.1516,-0.2969,-1.64,9.5553,-1.0,1.0,1.0
-0.032,-0.0384,-0.2481,-0.3831,-1.8268,9.8881,-1.0,1.0,1.0
0.0653,-0.0064,-0.3022,-0.4166,-1.6328,9.8665,-1.0,1.0,1.0
0.0056,0.0474,-0.1673,-0.4573,-1.4916,9.6654,-1.0,1.0,1.0
-0.0139,-0.0168,-0.1095,-0.5267,-1.5036,9.924,-1.0,1.0,1.0
0.033,-0.0266,-0.1727,-0.3903,-1.8076,9.8402,-1.0,1.0,1.0
0.0618,-0.0157,0.0264,-0.4597,-1.4581,10.0652,-1.0,1.0,1.0
0.2246,0.0765,0.1871,-0.2921,-1.5754,9.8761,-1.0,1.0,1.0
0.4415,0.1154,0.0024,-0.4381,-1.5993,9.7492,-1.0,1.0,1.0
0.3685,0.0176,0.0461,-0.589,-0.4334,10.0844,-1.0,1.0,1.0
0.0437,0.0029,-0.0429,-0.3567,-0.565,9.9216,-1.0,1.0,1.0
-0.1471,-0.069,-0.0016,-0.431,-0.4286,9.9479,-1.0,1.0,1.0
-0.1418,-0.0187,0.0216,-0.4334,-0.3926,9.6965,-1.0,1.0,1.0
-0.1865,-0.1764,0.1231,-0.3519,-0.5052,9.2775,-1.0,1.0,1.0
-0.2547,0.0685,0.0429,-0.3663,-1.1516,11.0923,-1.0,1.0,1.0
-0.2542,0.2491,0.1556,-0.3232,-1.0534,10.0748,-1.0,1.0,1.0
-0.0197,0.5268,0.0179,-0.0024,-2.4948,9.9695,-1.0,1.0,1.0
0.0378,-0.1428,-0.3818,-1.0343,-1.0965,8.9974,-1.0,1.0,1.0
-0.2313,-0.231,-0.0781,-0.5076,-1.2139,9.6031,-1.0,1.0,1.0
-0.1623,-0.2987,-0.3147,-0.1245,-1.6472,9.7875,-1.0,1.0,1.0
-0.3549,-0.4586,-0.4535,0.0024,-1.9154,10.1562,-1.0,1.0,1.0
-0.3267,-0.4157,-0.1748,0.3663,-2.1213,9.5816,-1.0,1.0,1.0
0.1202,-0.3003,-0.2294,0.6297,-2.8635,9.6391,-1.0,1.0,1.0
0.2009,-0.114,-0.4639,0.8164,-1.9537,9.8904,-1.0,1.0,1.0
0.1287,-0.1199,-0.5622,0.6512,-1.1971,9.7803,-1.0,1.0,1.0
0.0565,-0.1037,-0.3277,1.0606,-2.0566,9.754,-1.0,1.0,1.0
-0.0597,-0.0592,-0.2054,0.9122,-1.7837,10.0245,-1.0,1.0,1.0
0.0466,0.056,-0.0842,1.0247,-2.217,9.8928,-1.0,1.0,1.0
-0.0029,0.0341,-0.1508,0.9337,-1.9489,9.4762,-1.0,1.0,1.0
0.0938,0.0173,0.1077,0.9122,-1.4676,9.7468,-1.0,1.0,1.0
-0.0003,0.0514,0.1396,0.8619,-1.7358,9.9288,-1.0,1.0,1.0
0.0919,0.1207,0.1279,1.0295,-2.0135,9.6678,-1.0,1.0,1.0
0.0282,0.0554,0.0051,0.7901,-1.6951,9.7252,-1.0,1.0,1.0
0.0309,0.1236,0.1396,0.8978,-1.9561,9.6199,-1.0,1.0,1.0
-0.0125,0.1087,0.0751,0.7254,-1.9944,9.8282,-1.0,1.0,1.0
-0.0378,0.0485,-0.0067,0.6273,-1.6472,9.9216,-1.0,1.0,1.0
0.0085,0.053,0.0986,0.8021,-2.5857,9.4451,-1.0,1.0,1.0
0.0794,0.0693,-0.1228,0.498,-1.2378,10.2592,-1.0,1.0,1.0
-0.0869,0.121,0.1881,0.7422,-1.573,9.8402,-1.0,1.0,1.0
-0.0381,0.126,0.2348,0.5124,-1.7957,9.8258,-1.0,1.0,1.0
-0.0645,0.1348,0.2603,0.431,-2.0734,9.7923,-1.0,1.0,1.0
-0.773,0.1719,0.5955,0.4908,-2.8443,9.2129,-1.0,1.0,1.0
-0.9659,0.1037,0.7818,0.6967,-4.6495,8.3294,-1.0,1.0,1.0
-0.4245,-0.1927,0.1428,0.7278,-3.8523,9.742,-1.0,1.0,1.0
0.1314,0.0959,0.0658,0.5387,-3.2394,9.3541,-1.0,1.0,1.0
