gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
-0.0272,0.0933,-0.0136,-1.2402,-1.6328,9.4212,-1.0,1.0,1.0
-0.0448,0.0027,-0.0706,-1.1995,-1.7957,9.9742,-1.0,1.0,1.0
-0.0325,0.0013,-0.0386,-1.2091,-1.7669,9.6798,-1.0,1.0,1.0
0.0005,0.0504,-0.0187,-1.2905,-1.7645,9.7396,-1.0,1.0,1.0
0.036,0.0296,0.0176,-1.3671,-1.4605,9.7516,-1.0,1.0,1.0
0.0147,0.0738,-0.0336,-1.3479,-1.8627,9.5864,0.3851,1.0,1.0
0.3656,0.0368,0.1415,-1.5419,-1.6927,8.5353,1.0,1.0,1.0
0.6137,-2.3406,-1.6289,1.6137,-4.4317,5.0374,-1.0,1.0,1.0
1.9049,-3.7363,-1.6286,4.1875,5.023,14.3221,-1.0,1.0,1.0
0.4186,-1.7603,0.5987,5.7365,2.0494,10.1323,-1.0,1.0,1.0
0.0946,-0.0045,0.5364,6.1914,-1.3455,9.6414,-1.0,1.0,1.0
0.7429,0.8111,-0.0141,5.9448,-0.486,9.3661,-1.0,1.0,1.0
-0.3251,0.2659,-0.2006,5.5258,-0.079,7.9751,-1.0,1.0,1.0
-0.9563,1.2678,0.0301,4.5705,1.3695,9.8976,-1.0,1.0,1.0
-5.6583,3.2058,1.2939,4.1994,2.4565,8.248,-1.0,1.0,1.0
-8.7314,0.7978,1.6049,1.8938,-4.7525,-0.2801,-1.0,1.0,1.0
-2.6478,-0.0061,0.2803,4.9871,-14.1832,-2.9185,-1.0,1.0,1.0
0.0746,-0.3688,-0.6891,2.6336,-8.6742,-1.5419,-1.0,1.0,1.0
1.2044,-0.5628,-0.2523,1.5203,-8.5401,-0.1987,-1.0,1.0,1.0
1.6667,-0.5923,-0.388,2.4181,-8.6718,0.3903,-1.0,1.0,1.0
3.2889,-1.2838,-0.9089,2.4972,-9.5265,0.5938,-1.0,1.0,1.0
6.0799,3.0478,-1.9462,1.8675,-8.4803,14.686,-1.0,1.0,1.0
0.2558,4.0023,0.6835,-4.3766,3.5434,9.3446,1.0,1.0,1.0
-0.926,0.4668,0.0461,-7.4316,3.3447,2.2601,1.0,-1.0,1.0
0.0373,-0.0914,0.166,-6.5434,-2.162,6.6439,1.0,-1.0,1.0
-0.8279,-1.2612,0.7298,-6.2297,-1.8747,5.6958,1.0,1.0,1.0
0.4572,-0.9835,0.9126,-5.0111,-2.7031,6.3183,1.0,1.0,1.0
-0.6662,-2.2183,-0.5129,-3.0718,-3.5051,7.2808,1.0,1.0,1.0
0.999,-5.0697,-2.5668,2.5163,-1.1636,5.0757,-1.0,1.0,1.0
1.5274,-2.2804,-1.275,-0.3591,7.4148,6.6822,-1.0,-1.0,1.0
0.2582,-1.6385,-0.0216,5.2936,4.1731,12.1027,-1.0,-1.0,1.0
